state,year,population,firearm_homicide_rate,firearm_suicide_rate,permit_rate,background_check_total,civ_non_institution_pop_rate,labor_force_population_percentage,police_rate,state_imprisonment_rate,alc_per_capita,poverty_rate,cocaine_death_rate,gender_ratio,ages_5_9_pop_percent,ages_10_14_pop_percent,ages_15_19_pop_percent,ages_20_24_pop_percent,ages_25_29_pop_percent,ages_30_34_pop_percent,ages_35_45_pop_percent,ages_45_54_pop_percent,ages_55_59_pop_percent,ages_60_64_pop_percent,ages_65_74_pop_percent,ages_75_84_pop_percent,ages_85_plus_pop_percent,white_nonhispanic_pop_percent,black_nonhispanic_pop_percent,indigenious_nonhispanic_pop_percent,asian_pacific_nonhispanic_pop_perent,white_hispanic_pop_percent,black_hispanic_pop_percent,indigenious_hispanic_pop_percent,asian_pacific_hispanic_pop_percent,black_urban_youth_pop_percent,hispanic_urban_youth_pop_percent,military_veteran_pop_percent,foreign_born_pop_percent,urban_household_pop_percent,single_parent_pop_percent,biracial_nonhispanic_pop_percent,biracial_hispanic_pop_percent,bachelor_degree_pop_percent,high_school_degree_pop_percent,no_highschool_degree_pop_percent,some_college_pop_percent,cpi,income,income_2000,poc_type,denied_adjudicated_mh,denied_alien,denied_crime,denied_dishonorable_discharge,denied_dv_misdemeanor,denied_dv_restraining,denied_fed_denied_person_file,denied_fugitive,denied_renounced_citizen,denied_state_prohibitor,denied_substance_use,denied_under_indictment,reported_adjudicated_mh,denied_total
Hawaii,2000,1211537,17.17,5.14,5.4550542,5.4550542,7.433153094,0.673,2.711431842,1.33,2.32,8.9,NA,100.9629325,0.070142307,0.068595511,0.066858874,0.068845607,0.069333417,0.071940849,0.157797079,0.141125694,0.049986917,0.038298459,0.070375069,0.047687359,0.014497287,0.233100866,0.017442883,0.002153534,50.18493649,0.025810217,0.001817586,0.001011971,0.015532024,0.009179866,0.008044052,0.085366999,0.178472521,0.728837942,0.150894969,0.173061097,0.028220458,0.221146945,0.32822166,0.171118437,0.279512958,1.722,28930.89431,29544,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
Idaho,2000,1293953,0.82,13.77,0,59.61422092,7.350181962,0.694,1.990798738,2.62,2.3,12.5,NA,100.5214661,0.077866816,0.08084374,0.0856739,0.072640969,0.065789097,0.065153062,0.14913061,0.131572012,0.046388084,0.03671308,0.058711561,0.040101147,0.013954912,0.883636782,0.003859479,0.012313392,1.013093944,0.074027189,0.000719498,0.001937468,0.00056107,0.000565489,0.037175567,0.101510665,0.059673044,0.340301608,0.138755762,0.011471015,0.001343167,0.160925461,0.324149995,0.216018666,0.298905878,1.722,25257.83972,25089,Non-POC,7,9,851,0,403,64,1,29,0,7,42,0,NA,1413
Illinois,2000,12419293,12.79,5.52,23.86287207,36.2155076,7.526114409,0.695,2.963695276,2.41,2.24,10.7,2.761831934,95.92002819,0.074872056,0.072878303,0.071984935,0.068509777,0.071804329,0.074071447,0.159740977,0.130985073,0.04652012,0.037271526,0.062181237,0.043138285,0.015462313,0.682062705,0.15014428,0.001506933,3.473699966,0.116826532,0.002982626,0.00143624,0.000912405,0.074960156,0.053136334,0.073707734,0.099543644,0.829530374,0.171979699,0.008334187,0.001057092,0.231116694,0.30879849,0.205067989,0.255016826,1.722,32945.99303,33251,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
Indiana,2000,6080485,8.68,10.28,11.0854644,29.98428579,7.566065865,0.68,1.839491422,1.95,1.98,8.5,NA,96.27657806,0.072900928,0.072924446,0.074579906,0.070015961,0.067270127,0.06941716,0.157997758,0.13434208,0.0483792,0.038759244,0.065026556,0.043726775,0.01505768,0.860067553,0.083607707,0.002278802,1.007889223,0.032681574,0.001313473,0.000460628,0.000314266,0.036270605,0.010911344,0.105395347,0.023697485,0.597686299,0.132984169,0.00867826,0.000518844,0.15516857,0.367263937,0.201513353,0.27605414,1.722,28121.95122,28138,Non-POC,5,6,980,0,107,61,0,44,0,4,46,0,NA,1253
Iowa,2000,2926324,0.35,7.18,15.42993872,30.00214604,7.631044956,0.712,1.745192945,1.75,1.98,8.3,NA,96.29114163,0.069234644,0.071949313,0.077373524,0.069596873,0.060573949,0.063492969,0.152135922,0.134227789,0.047517636,0.040446649,0.072423628,0.054389056,0.022252492,0.927653425,0.021026551,0.002753082,1.298325872,0.026327012,0.000625996,0.000495124,0.000244316,0.013600972,0.008519171,0.092151146,0.042997936,0.448258198,0.165136076,0.007400211,0.000491024,0.215511049,0.358756873,0.165444846,0.260287233,1.722,27560.97561,27535,Partial-Permit,1,0,379,0,162,49,0,19,0,0,45,0,NA,655
Kansas,2000,2688418,9.06,10.73,0,35.97506043,7.444549174,0.703,2.545363109,1.86,1.82,8,0.818325126,97.68629273,0.072746872,0.075887753,0.078156745,0.070735652,0.064340813,0.06542063,0.156356266,0.131730631,0.0452478,0.03667882,0.065434765,0.047813621,0.019256678,0.832790056,0.056755023,0.008373235,1.803136941,0.065287801,0.001796629,0.001294197,0.000514704,0.026732898,0.01883384,0.109359745,0.069033178,0.585340156,0.155462527,0.014023076,0.00113391,0.229187709,0.284547702,0.186917456,0.299347134,1.722,28743.90244,28304,Non-POC,7,9,635,1,301,24,0,43,0,4,54,0,NA,1078
Kentucky,2000,4041769,8.03,16.32,0,56.88004436,7.635649143,0.637,1.98328999,2.04,1.74,12.6,NA,95.59023625,0.069093013,0.069148187,0.071504334,0.070026763,0.069557167,0.071002079,0.159005871,0.137794119,0.050592451,0.041593669,0.067777995,0.042701352,0.014414728,0.894251462,0.073053167,0.001990009,0.772451983,0.013165131,0.000883431,0.000222157,0.000212508,0.035461014,0.004952114,0.0957161,0.025908845,0.45575511,0.134446603,0.008153248,0.000344368,0.169613032,0.352418577,0.262069671,0.215898719,1.722,24954.12311,24918,Non-POC,16,6,1544,3,234,1029,3,64,0,18,181,0,NA,3098
Louisiana,2000,4468976,16.95,11.46,0.00044753,39.09307188,7.361068844,0.619,3.85949712,3.54,2.44,17.2,0.604165249,93.79248799,0.075359545,0.077850496,0.081885649,0.072851365,0.066270439,0.06824852,0.154837708,0.131186876,0.046713386,0.038104255,0.063308686,0.039232254,0.01312963,0.627210796,0.32372492,0.005468295,1.259914053,0.020451619,0.002504568,0.00036876,0.000246586,0.145228637,0.006605743,0.085941913,0.031440758,0.818159058,0.220081074,0.006888959,0.000536357,0.184492868,0.326221689,0.255293061,0.233992383,1.722,23570.26713,23943,Non-POC,14,8,2365,5,221,82,2,97,0,8,169,0,NA,2971
Maine,2000,1274923,0.37,12.53,0,35.31821137,7.798400374,0.682,1.742065991,0.59,2.23,10.1,NA,94.75952577,0.065119227,0.07235888,0.070188553,0.054635456,0.056435565,0.067193078,0.167053226,0.151064809,0.053720891,0.042902199,0.0754524,0.05011283,0.018288163,0.96647262,0.005249537,0.005455063,0.747109891,0.006316389,0.000404776,0.000171794,0.00015689,0,0.000717703,0.116364511,0.032721802,0.366658804,0.182772753,0.008012369,0.000289462,0.206469277,0.362614489,0.175231516,0.255684718,1.722,27109.17538,27450,Non-POC,4,1,241,0,57,5,2,9,0,2,4,0,NA,325
Maryland,2000,5296486,14.63,6.4,6.789407165,15.91791237,7.541619104,0.702,2.820926932,1.97,2.09,7.4,2.209011786,93.39517133,0.07388257,0.074036824,0.067236843,0.059308946,0.064735374,0.076588704,0.172974308,0.142553384,0.050721743,0.038087328,0.06066003,0.03986039,0.012631394,0.623172169,0.278649682,0.002580878,4.076692292,0.036424931,0.004475095,0.000587919,0.00053128,0.100013401,0.013474345,0.113035007,0.09942706,0.925157839,0.199235457,0.011801617,0.001009507,0.290960384,0.321538522,0.183887612,0.203613481,1.722,35344.94774,35572,Partial-Purchase,2,4,1118,2,41,62,0,21,0,0,38,0,NA,1288
