DATE,WFRBSN40188
1989-07-01,35.6
1989-10-01,35.6
1990-01-01,35.9
1990-04-01,36.0
1990-07-01,36.5
1990-10-01,36.3
1991-01-01,36.0
1991-04-01,36.3
1991-07-01,36.4
1991-10-01,36.1
1992-01-01,36.3
1992-04-01,36.5
1992-07-01,36.6
1992-10-01,36.3
1993-01-01,36.0
1993-04-01,36.0
1993-07-01,35.9
1993-10-01,35.7
1994-01-01,35.8
1994-04-01,35.9
1994-07-01,35.8
1994-10-01,35.7
1995-01-01,35.5
1995-04-01,35.4
1995-07-01,35.0
1995-10-01,34.9
1996-01-01,35.7
1996-04-01,35.7
1996-07-01,35.8
1996-10-01,34.9
1997-01-01,34.9
1997-04-01,34.6
1997-07-01,34.4
1997-10-01,34.2
1998-01-01,33.8
1998-04-01,33.8
1998-07-01,34.3
1998-10-01,33.7
1999-01-01,33.8
1999-04-01,33.6
1999-07-01,33.8
1999-10-01,33.1
2000-01-01,33.2
2000-04-01,33.6
2000-07-01,33.7
2000-10-01,34.2
2001-01-01,34.9
2001-04-01,34.8
2001-07-01,35.5
2001-10-01,35.1
2002-01-01,35.1
2002-04-01,35.3
2002-07-01,35.8
2002-10-01,35.7
2003-01-01,35.8
2003-04-01,35.3
2003-07-01,35.1
2003-10-01,34.6
2004-01-01,34.3
2004-04-01,34.3
2004-07-01,34.1
2004-10-01,33.9
2005-01-01,33.9
2005-04-01,33.5
2005-07-01,33.3
2005-10-01,33.2
2006-01-01,32.6
2006-04-01,32.5
2006-07-01,32.3
2006-10-01,32.0
2007-01-01,31.6
2007-04-01,31.3
2007-07-01,31.0
2007-10-01,31.1
2008-01-01,31.2
2008-04-01,31.2
2008-07-01,31.5
2008-10-01,32.0
2009-01-01,32.3
2009-04-01,32.0
2009-07-01,31.5
2009-10-01,31.5
2010-01-01,31.4
2010-04-01,31.4
2010-07-01,31.0
2010-10-01,30.6
2011-01-01,30.5
2011-04-01,30.4
2011-07-01,30.8
2011-10-01,30.7
2012-01-01,30.3
2012-04-01,30.4
2012-07-01,30.2
2012-10-01,30.2
2013-01-01,30.1
2013-04-01,30.1
2013-07-01,30.1
2013-10-01,29.9
2014-01-01,29.6
2014-04-01,29.3
2014-07-01,29.3
2014-10-01,29.0
2015-01-01,28.9
2015-04-01,28.8
2015-07-01,28.9
2015-10-01,28.9
2016-01-01,28.8
2016-04-01,28.7
2016-07-01,28.7
2016-10-01,28.8
2017-01-01,28.7
2017-04-01,28.6
2017-07-01,28.6
2017-10-01,28.4
2018-01-01,28.6
2018-04-01,28.5
2018-07-01,28.4
2018-10-01,28.8
2019-01-01,28.4
2019-04-01,28.3
2019-07-01,28.3
2019-10-01,28.5
2020-01-01,29.5
2020-04-01,29.3
2020-07-01,29.4
2020-10-01,29.2
2021-01-01,29.2
2021-04-01,29.2
2021-07-01,29.5
2021-10-01,29.6
2022-01-01,30.3
2022-04-01,31.2
2022-07-01,31.3
2022-10-01,30.9
2023-01-01,30.6
2023-04-01,30.7
2023-07-01,30.8
